ShopName,Area,Holiday,Rating,Target
魚三酒場 富岡店,日曜・祝日（ただし、GWなど連休の場合は開店する場合あり。）,東京都 門前仲町駅 190m,3.71,https://tabelog.com/tokyo/A1313/A131303/13003007/
酒肴 新屋敷,日曜日,東京都 西早稲田駅 415m,3.69,https://tabelog.com/tokyo/A1305/A130503/13193868/
いたる 本店,日曜 (祝日の場合営業、翌日休),石川県 金沢市,3.71,https://tabelog.com/ishikawa/A1701/A170101/17000009/
黒百合,無休,石川県 金沢市,3.73,https://tabelog.com/ishikawa/A1701/A170101/17000022/
魚仁,無休(GW、お盆、年末年始などの休み有り),東京都 月島駅 378m,3.68,https://tabelog.com/tokyo/A1313/A131302/13007578/
てぃーあんだ 扇町本店,なし,大阪府 扇町駅 153m,3.69,https://tabelog.com/osaka/A2701/A270103/27006935/
酒場 やまと,無休,大阪府 東梅田駅 159m,3.68,https://tabelog.com/osaka/A2701/A270101/27054292/
萬屋 おかげさん,日曜日・祝日・月曜日 （年末の月曜日は営業する場合あり）,東京都 四谷三丁目駅 402m,3.75,https://tabelog.com/tokyo/A1309/A130903/13025617/
なな治,水曜日,京都府 三条駅 263m,3.72,https://tabelog.com/kyoto/A2601/A260301/26006925/
並木橋なかむら,年末年始,東京都 渋谷駅 537m,3.72,https://tabelog.com/tokyo/A1303/A130301/13059986/
山葵,日曜日・祭日・年末年始・お盆,東京都 人形町駅 172m,3.75,https://tabelog.com/tokyo/A1302/A130204/13008075/
鼎,12月31日から1月4日まで,東京都 新宿三丁目駅 181m,3.7,https://tabelog.com/tokyo/A1304/A130401/13000879/
越後一会 十郎,12月31日、1月1日,新潟県 新潟市中央区,3.72,https://tabelog.com/niigata/A1501/A150101/15008980/
食堂とだか,日曜日,東京都 五反田駅 147m,3.82,https://tabelog.com/tokyo/A1316/A131603/13187669/
大甚 本店,日曜・祝日,愛知県 伏見駅 106m,3.73,https://tabelog.com/aichi/A2301/A230102/23000102/
酒囲屋本店,日曜日 2013年9月以前は水曜定休でした。要注意です。,岡山県 岡山市北区,3.7,https://tabelog.com/okayama/A3301/A330101/33006896/
さけ富,無,秋田県 秋田市,3.91,https://tabelog.com/akita/A0501/A050101/5008588/
かねます,水曜・日曜・祝日,東京都 勝どき駅 102m,3.78,https://tabelog.com/tokyo/A1313/A131302/13002243/
のどぐろ専門 銀座 中俣,不定休【ランチ】土日祝：11:30～14:00,東京都 東銀座駅 99m,3.69,https://tabelog.com/tokyo/A1301/A130101/13186922/
居酒屋 ちょーちょ,不定休,宮城県 勾当台公園駅 364m,3.72,https://tabelog.com/miyagi/A0401/A040101/4014402/
和洋酒菜 ひで,月曜日,大阪府 心斎橋駅 335m,3.96,https://tabelog.com/osaka/A2701/A270201/27013057/
魚虎,日曜日、祝日、第3月曜,福岡県 北九州市八幡西区,3.92,https://tabelog.com/fukuoka/A4004/A400404/40021924/
ずぼら,日曜日,東京都 東池袋駅 421m,3.68,https://tabelog.com/tokyo/A1305/A130501/13047450/
舞浜,土・日・祝,東京都 新橋駅 231m,3.75,https://tabelog.com/tokyo/A1301/A130103/13013868/
長生庵,日曜日はお休みです。,東京都 築地駅 327m,3.71,https://tabelog.com/tokyo/A1313/A131301/13024450/
ビストロ割烹 YAOYA,木曜不定休,京都府 出町柳駅 448m,3.85,https://tabelog.com/kyoto/A2601/A260302/26000502/
産直屋 たか,日曜日・月曜日※日月連休の場合は日曜日営業。その他 臨時休業（営業）あり。※お電話は14:00〜2:00の時間でお願い致します。,東京都 神泉駅 145m,3.77,https://tabelog.com/tokyo/A1303/A130301/13008327/
赤鬼,無休,東京都 西太子堂駅 296m,3.73,https://tabelog.com/tokyo/A1317/A131706/13001382/
鯛樹,日曜日・祝日,東京都 大門駅 209m,3.73,https://tabelog.com/tokyo/A1314/A131401/13128122/
やまちゃん 中洲店,毎週日曜日,福岡県 中洲川端駅 328m,3.7,https://tabelog.com/fukuoka/A4001/A400102/40029379/
牧野,"日曜日,月曜祝日の場合日月曜日は連休",東京都 新馬場駅 168m,3.73,https://tabelog.com/tokyo/A1314/A131405/13027466/
海鮮処 函館山,月曜日,北海道 函館市,3.71,https://tabelog.com/hokkaido/A0105/A010501/1003412/
酒肆 門,日曜日・祝日の月曜日,大阪府 東梅田駅 228m,3.72,https://tabelog.com/osaka/A2701/A270101/27012171/
魚菜,日・月休日,北海道 狸小路駅 186m,3.69,https://tabelog.com/hokkaido/A0101/A010103/1000426/
源氏,日曜・祝日、月曜,宮城県 青葉通一番町駅 98m,3.76,https://tabelog.com/miyagi/A0401/A040101/4000031/
どんこ,水曜定休日,高知県 高知市,3.69,https://tabelog.com/kochi/A3901/A390101/39000703/
岸田屋,日曜・祝日・月曜,東京都 勝どき駅 393m,3.79,https://tabelog.com/tokyo/A1313/A131302/13002239/
旬菜処 びいどろ,日曜・月曜,沖縄県 那覇市,3.7,https://tabelog.com/okinawa/A4701/A470101/47002122/
ひとし 本店,水曜日,沖縄県 石垣市,3.7,https://tabelog.com/okinawa/A4705/A470501/47001373/
きはるの胡麻鯖や,日曜日（月曜祝日の場合は日曜営業）,福岡県 天神南駅 353m,3.76,https://tabelog.com/fukuoka/A4001/A400103/40004429/
黒尊,日曜日・祝日・水曜日,高知県 高知市,3.89,https://tabelog.com/kochi/A3901/A390101/39000063/
赤垣屋,日曜・祝日の月曜,京都府 京都市役所前駅 408m,3.71,https://tabelog.com/kyoto/A2601/A260302/26001072/
酒・肴 おまた,日曜・祝日,東京都 池袋駅 357m,3.74,https://tabelog.com/tokyo/A1305/A130501/13017031/
いかの墨 新潟駅前店,無休,新潟県 新潟市中央区,3.68,https://tabelog.com/niigata/A1501/A150101/15000484/
陸蒸気,無休 （年末年始・お盆休みあり）,東京都 中野駅 206m,3.74,https://tabelog.com/tokyo/A1319/A131902/13000216/
神馬,日,京都府 京都市上京区,3.71,https://tabelog.com/kyoto/A2601/A260203/26002592/
郷土料理 おが,無休（1月1日から12月31日まで年中無休）,北海道 すすきの（市営）駅 144m,3.7,https://tabelog.com/hokkaido/A0101/A010103/1002392/
味楽 ゆめり,日曜（日曜を含む連休の場合は日曜営業、最終日のみ休業）,石川県 金沢市,3.73,https://tabelog.com/ishikawa/A1701/A170101/17005534/
山利喜 本館,日曜日、祝日,東京都 森下駅 135m,3.74,https://tabelog.com/tokyo/A1312/A131201/13002992/
酒盃,毎週日曜（祝前日の日曜は営業）・連休最終日,秋田県 秋田市,3.9,https://tabelog.com/akita/A0501/A050101/5000004/
田中田 博多本店,"11月1(月),8(月),15(月),16(火),22(月),29(月)、12月6(月),7(火),13(月),20(月),27(月)、年末年始31(金)〜1月4日(火)までお休み頂きます。",福岡県 西鉄平尾駅 570m,3.74,https://tabelog.com/fukuoka/A4001/A400104/40000919/
